bill_id,session,name,organization,designated_env_impact,outcome,link,researcher (internal),
SB 696,2018,Virginia Aletrnative Energy Coastal Protection Act ,Sierra Club,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+SC10112SB0696+SBREF,Yuqing,
SB 950,2018,Protecting waterways from future pipelines,"League of Conservation Voters, Sierra Club",positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+SC10209SB0950+RCSB2,Yuqing,
SB 429,2018,Local Regulation of Solar Facilities,Sierra Club,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+SC10202SB0429+RCSB2,Yuqing,
SB 807,2018,Coal Ash Moratorium,Sierra Club,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+HC10219SB0807+SB1REF,Yuqing,
SB 951,2018,Fracking Regional Moratorium,Sierra Club,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+SC10207SB0951+BRREF,Yuqing,
HB 1678,2017,Loopholes for Oil and Gas Drilling Operations,League of Conservation Voters,negative,died on floor/before governor signature,http://lis.virginia.gov/cgi-bin/legp604.exe?171+sum+HB1678,Yuqing,
HB 1679,2017,Loopholes for Oil and Gas Drilling Operations,"League of Conservation Voters, Sierra Club",negative,died on floor/before governor signature,http://lis.virginia.gov/cgi-bin/legp604.exe?171+mbr+HB1679,Yuqing,
HB 1870,2017,Expand Notification Methods After Spills ,League of Conservation Voters,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?171+mbr+HB1870,Yuqing,
HB 1964,2017,Secretary for Coastal Protection and Floodwater Adaptation,Sierra Club,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?171+sum+HB1964,Yuqing,
HB 1974,2017,Clean Power Plan,"League of Conservation Voters, Sierra Club",negative,died on floor/before governor signature,http://lis.virginia.gov/cgi-bin/legp604.exe?171+sum+HB1974,Yuqing,
HB 2018,2017,Virginia Aletrnative Energy Coastal Protection Act ,Sierra Club,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?171+sum+HB2018,Yuqing,
HB 2136,2017,Va. to sign Metrorail Safety Compact,League of Conservation Voters,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?171+sum+HB2136,Yuqing,
HB 2198,2017,Coal Tax Credits; extension of sunset,"League of Conservation Voters, Sierra Club",negative,passed but vetoed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?171+sum+HB2198,Yuqing,
HB 2383,2017,Combined Sewer Overflow; compliance ,League of Conservation Voters,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?171+sum+HB2383,Yuqing,
HB 2303,2017,Agricultural Renewable Energy,Sierra Club,negative,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?171+sum+HB2303,Yuqing,
HB 2390,2017,Restricting Renewable Energy Financing,Sierra Club,negative,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?171+sum+HB2390,Yuqing,
SB 806,2017,Circumvention of the Trasportation Prioritization Process,League of Conservation Voters,negative,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?171+sum+SB806,Yuqing,
SB 910,2017,"Sampling, Replacing Contaminated Wells",League of Conservation Voters,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=171&typ=bil&val=SB910,Nina,
SB 911,2017,"Orphaned Gas Wells, Increased Surcharge","League of Conservation Voters, Sierra Club",positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=171&typ=bil&val=sb911,Nina,
SB 990,2017,Energy Efficiency Progress Reports,Sierra Club,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=171&typ=bil&val=sb990,Nina,
SB 1095,2017,Overturn of Utility Rate Freeze,Sierra Club,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=171&typ=bil&val=sb1095,Nina,
SB 1258,2017,Virginia Solar Energy Development and Storage Authority,Sierra Club,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=171&typ=bil&val=sb1258,Nina,
SB 1291,2017,Fracking FOIA Well Permit Applications,Sierra Club,negative,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=171&typ=bil&val=sb1291,Nina,
SB 1349,2017,Secretary for Coastal Protection and Floodwater Adaptation,Sierra Club,positive,died on floor/before governor signature,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=171&typ=bil&val=sb1349,Nina,
SB 1393,2017,Community Solar Pilot Program,League of Conservation Voters,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=171&typ=bil&val=sb1393,Nina,
SB 1394,2017,Agricultural Renewable Energy,Sierra Club,negative,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=171&typ=bil&val=sb1394,Nina,
SB 1395,2017,Renewable Energy Permit by Rule,Sierra Club,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=171&typ=bil&val=sb1395,Nina,
